"Gene","Score"
"EMC6",1.93924334516235
"VAX2",1.93920253168387
"SLC35F3",1.93848316321089
"CMTM1",1.93823068707574
"FAM72C",1.93798823685799
"MIPEP",1.93783038738351
"CYBC1",1.93657116015097
"WFIKKN1",1.93556438211424
"NXF1",1.93542192517655
"NPAS1",1.93470940098909
"WT1",1.93438543791832
"ZNF555",1.9338680572924
"SYTL2",1.93191071299522
"HAGHL",1.93162577581557
"NUDT4B",1.93143269030591
"AC004706.3",1.93124284277942
"CLCN7",1.9305097113505
"TXNL4B",1.93041060809604
"LPIN1",1.92819539993292
"OIP5",1.92757715823731
"WDR77",1.92733565400234
"S100A4",1.92687504001366
"ZBTB8B",1.92628479592691
"SLC9A1",1.92578932925657
"CCL16",1.92541759051669
"ZNF93",1.92534992888183
"TBCEL",1.92532917120745
"PGS1",1.9245523391687
"ZNF586",1.92227176213817
"MOB2",1.92217493920844
"UEVLD",1.92173259342399
"ZNF625",1.92156576087632
"SPC24",1.92117536599352
"PPP1R14D",1.9205108328837
"FUT5",1.9205108328837
"IFI35",1.91966972244214
"CNNM1",1.9184929821842
"NRDE2",1.91769319458351
"AKT1S1",1.91680801431953
"DSCAML1",1.91638904787244
"EXPH5",1.91589294470215
"TMEM19",1.91498458022101
"WDR76",1.91375886370982
"FRAT2",1.91351775091198
"NRBP1",1.91342530407997
"CCNJ",1.9129796086866
"TRAPPC12",1.91253181524747
"KIN",1.91236110470867
"ZNF567",1.91115137455689
"TRPV4",1.9102401422377
"ZNF571",1.90944364584247
"AC245748.1",1.90926804551855
"SPATA33",1.90809350606547
"AC018523.2",1.90809234641488
"ZNF708",1.90736971264113
"HPS6",1.90541225726239
"PEMT",1.90445356900553
"ZNF28",1.90278625064115
"ZNF587B",1.90235321613949
"SUV39H2",1.90186560974017
"CORO1B",1.90125960094832
"BLZF1",1.90111527970363
"PGM2L1",1.90034727791479
"ANGEL1",1.89980723698657
"NFIA",1.89975836922225
"GPATCH2",1.8986021132595
"TM9SF1",1.89770086594036
"BCO1",1.89736689644858
"ST8SIA5",1.89672835017237
"ZNF561",1.89649398497688
"AC003002.2",1.89616093990328
"PRR19",1.89541290945575
"SETDB2",1.89510990278692
"NDUFA3",1.89424292665685
"GSTM4",1.89406901813291
"PCGF6",1.89349120915241
"MIER2",1.89093808665779
"MATN1",1.89000634601014
"MSMB",1.89000634601014
"AL357673.1",1.88962340632103
"SYNE4",1.88934713821736
"SHC2",1.88856640091776
"LRP3",1.88739293461733
"GLP2R",1.88737221006545
"MVD",1.88733258191979
"IGFALS",1.88344728467219
"MRPS34",1.88326485074161
"TRIM29",1.88287881266623
"DRAXIN",1.88263882936538
"WTIP",1.88244626904606
"TCIRG1",1.88208602250975
"AC004076.1",1.88179864575304
"ZNF45",1.88160347982924
"CC2D1B",1.88080846207655
"SESN3",1.88080030402075
"KRT14",1.88044219070162
"NDFIP2",1.8794811553602
"ZNF248",1.87917210688463
"ARID5A",1.87895216131784
"PPRC1",1.87841986282384
"ALKBH1",1.87818073784538
"TOGARAM1",1.87783221627996
"CCL23",1.87757951796151
"RARA",1.87716553237563
"ZNF487",1.87658716710237
"SLC2A13",1.87636189564345
"DHX32",1.87616933936507
"PTPN14",1.87590160338033
"APRT",1.87582625476655
"TRDMT1",1.87539133028441
"IPP",1.87525446576365
"TCTN3",1.87345866066974
"SPAST",1.87205731215915
"CD247",1.87153678435314
"ZNF671",1.87153678435313
"NHLRC2",1.87137163409143
"CHI3L1",1.87023454505068
"NSMCE3",1.87022289402834
"KIF14",1.87010599878817
"HAUS2",1.87001182949991
"PNKP",1.86946250846807
"MRPL35",1.8694005914383
"KIAA1614",1.86928547219842
"TEDC2",1.86874145535633
"ZNF281",1.86841425395405
"GLI1",1.86840220118079
"C11orf65",1.86834586629239
"RSAD1",1.86796760648179
"ZNF44",1.86760442378364
"MBIP",1.8668651890061
"ZNF57",1.8665070162734
"GINS3",1.86649072511539
"TLR5",1.86645090912293
"ARHGAP29",1.86605227301392
"SLC35E2A",1.8658968202873
"PRDM16",1.86578894979375
"FAM111B",1.86570027923441
"TRAF5",1.86456223423919
"GJA9",1.86451727721099
"FAM76A",1.86430685331843
"LDLR",1.86402628961155
"FAM24B",1.8638643782252
"ARID3B",1.86193030320697
"BTBD16",1.86160998986486
"C18orf32",1.86129838270569
"CTXND1",1.86095466069176
"PDCD2L",1.86033379532442
"IGSF3",1.86024991644072
"AC008403.1",1.8601773724153
"GINS2",1.85979386265522
"YIPF2",1.85957650108931
"ZNF519",1.8590796169083
"NDUFAB1",1.85865994985001
"DENND1B",1.85836833056848
"CYB5RL",1.85830567640239
"PITHD1",1.85826577814404
