Gene names,LFQ intensity HeLa_1,LFQ intensity HeLa_2,LFQ intensity HeLa_3,LFQ intensity HeLa_4,N: Intensity,(-log10),P-value,FC,FC2
NIP7,-0.835797,-0.895641,0.852809,0.878629,5723800,3.45092,0.000354063,0.301151218,-1.73144
GINS2,0.782334,0.945854,-0.864094,-0.864094,861220,2.65155,0.002230745,3.313118948,1.72819
NCKAP1,1.06083,0.646233,-0.851316,-0.855742,2309600,1.84074,0.01442979,3.264947967,1.70706
THRAP3,1.00486,0.65317,-1.13649,-0.521546,18005000,1.36923,0.042733651,3.155852987,1.65803
GIT1,1.05005,0.659889,-0.854969,-0.854969,686920,1.89392,0.01276674,3.271472175,1.70994
MRPS2,-0.865653,-0.865653,0.82974,0.901566,393790,3.36651,0.000430021,0.301178356,-1.73131
PKP3,-1.11524,-0.569822,0.919393,0.765672,2269200,1.56659,0.027127514,0.310989979,-1.68506
HBS1L,-0.865517,-0.865517,0.823554,0.90748,1233700,3.23126,0.000587138,0.301236815,-1.73103
CD2AP,0.772734,0.954539,-0.863637,-0.863637,1140200,2.55937,0.002758227,3.31100686,1.72727
GTF3C3,1.13335,0.548634,-0.84099,-0.84099,313980,1.53897,0.028908796,3.208680183,1.68198
FHOD1,-1.17009,-0.494446,0.855246,0.809294,605540,1.40919,0.038977143,0.315444915,-1.66454
CLIC4,0.980439,0.733752,-0.732351,-0.98184,19192000,1.98668,0.010311456,3.281123734,1.71419
BZW2,0.973865,0.731083,-1.03091,-0.674039,6114300,1.80556,0.015647321,3.260176339,1.70495
TEX264,-0.865591,-0.865591,0.826823,0.90436,473250,3.30005,0.00050113,0.301205496,-1.73118
IKBKG,0.898738,0.832682,-0.86571,-0.86571,791480,3.43928,0.00036368,3.320544885,1.73142
PRSS21,0.973141,0.751826,-0.862483,-0.862483,1346800,2.38827,0.004090063,3.305732531,1.72497
MAU2,-0.86595,-0.86595,0.849754,0.882145,506240,4.05832,8.74339E-05,0.301055212,-1.7319
SEC23IP,0.720976,0.998311,-0.912537,-0.80675,1611000,2.13257,0.007369364,3.292743198,1.71929
