Geneid,GroupA_1,GroupA_2,GroupA_3,GroupB_1,GroupB_2,GroupB_3,foldchange,pvalue
MTHFS,428,690,568,853,595,852,0.740137368,0.141557839
ST20-MTHFS,335,516,422,653,469,683,0.292270157,1.92468E-08
ST20,128,175,117,226,180,280,1.071477058,0.138980803
BCL2A1,213,184,74,259,284,194,0.677136754,0.000281058
ZFAND6,849,1164,984,1285,1057,1598,0.896483264,0.056776581
FAH,344,533,374,549,457,621,1.565437929,2.35933E-06
CTXND1,22,46,72,70,50,162,1.027245688,0.399079856
ARNT2,65,96,76,101,78,112,1.021233683,0.488347249
ABHD17C,18,36,27,57,44,43,1.00468444,0.895902935
CEMIP,2525,3539,2099,3168,2720,3375,1.070436896,0.090311489
MESD,6873,9877,9398,12299,8432,15487,1.020852611,0.515368959
TLNRD1,378,510,483,614,428,754,1.013719437,0.581127441
AC068870.4,10,13,9,17,11,16,0.984339797,0.722053625
IL16,5,15,6,10,4,9,0.989854119,0.820624805
STARD5,14,20,10,26,8,22,0.937026539,0.063864189
TMC3,0,0,2,4,0,6,1.059492344,0.154509984
MEX3B,98,164,122,176,136,216,0.455435451,3.72848E-05
EFL1,670,944,672,1017,754,1182,1.683286367,9.54196E-07
GOLGA6L10,268,355,318,452,321,439,1.012344555,0.802448459
GOLGA6L9,665,789,728,1079,703,1138,1.022508611,0.481048289
RPS17,27112,36971,31586,43469,30771,54864,0.99717848,0.955590534
AC245033.1,27034,36843,31497,43346,30650,54636,1.112548496,0.191447777
CPEB1,11,10,2,12,7,8,1.011196971,0.782278876
AP3B2,0,3,0,2,0,2,1.178401469,0.060973901
FSD2,34,41,36,47,36,85,2.486759502,1.08501E-07
WHAMM,763,1109,952,1259,1031,1569,0.947136984,0.468328844
HOMER2,2270,2874,1344,3303,2543,2465,0.806418413,0.062058111
RAMAC,766,1036,757,1134,1003,1401,0.987766629,0.756109606
C15orf40,743,1013,816,1135,997,1385,1.010691171,0.662780651
BTBD1,999,1260,995,1517,1223,1700,0.978472823,0.4503377
HDGFL3,8,18,20,18,8,26,0.997871505,0.951137972
SH3GL3,0,0,0,0,0,2,1.025056113,1
ADAMTSL3,0,10,0,4,8,8,1.182195098,0.00012929
GOLGA6L4,576,718,579,943,564,1007,1.01835692,0.614521837
ZSCAN2,500,630,608,805,540,1091,1.108481775,0.254059616
WDR73,587,748,677,941,652,1070,0.873333672,0.086757383
NMB,85,126,108,142,110,156,0.934463296,0.298230484
SEC11A,3062,4203,3694,4958,3583,6292,1.003112419,0.91755625
ZNF592,903,1272,950,1471,1165,1652,1.034100215,0.52521134
ALPK3,36,52,40,70,37,72,1.082057368,0.223208858
SLC28A1,4,29,2,9,4,1,1.303685734,0.000150813
PDE8A,932,1299,908,1454,1215,1546,1.065102804,0.079670792
AKAP13,3361,4285,3039,5005,4179,5363,1.103732662,0.300394369
KLHL25,101,120,94,126,134,160,0.974257806,0.460215291
AGBL1,0,0,0,2,6,0,0.728523917,0.024511786
NTRK3,0,0,2,4,2,2,1.299490794,0.010458628
MRPL46,1897,2426,2207,2944,2249,3800,1.00083096,0.977458959
AC013489.1,1008,1280,1044,1427,1131,1847,0.983207816,0.49584706
MRPS11,2322,2860,2558,3594,3036,4582,1.004926366,0.895584506
DET1,56,56,54,57,43,63,1.118144164,0.068993577
AEN,1778,2570,2163,2833,2156,3789,0.875260561,0.005394699
ISG20,330,488,287,456,414,469,1.006300769,0.891059993
ACAN,2,2,0,0,0,2,1.002607125,0.930113609
HAPLN3,0,0,0,4,0,0,0.982066549,0.497863911
MFGE8,260,340,221,402,237,357,0.867116986,0.000738943
ABHD2,632,910,697,1015,892,1166,1.535559893,2.6134E-08
RLBP1,15,10,2,10,8,18,1.07764291,0.121750699
FANCI,983,1220,1257,1862,1109,2045,0.989338516,0.765259347
POLG,1226,1552,1284,1978,1473,2199,0.966065916,0.232307855
RHCG,2,0,0,5,0,0,1.019013937,0.595669301
TICRR,402,581,554,683,449,939,1.10830182,0.547836506
KIF7,460,606,554,794,572,1015,1.007181661,0.74960411
PLIN1,9,20,12,30,16,16,0.744344835,0.005717117
PEX11A,71,100,86,110,70,138,0.997066151,0.907998812
MESP1,0,0,0,4,8,0,0.998632206,0.946793122
ANPEP,2294,3428,2772,3638,2901,4863,0.997719434,0.939918741
AP3S2,539,819,721,961,654,1128,1.025556422,0.830796104
ARPIN-AP3S2,477,733,625,877,551,1008,0.989588072,0.680237904
ARPIN,124,164,164,224,118,262,1.060928641,0.066428183
ZNF710,499,630,480,746,605,743,1.002963968,0.904868087
IDH2,1612,2276,2017,2601,1918,3607,3.56167604,4.03453E-06
SEMA4B,225,262,150,289,211,288,1.009309629,0.810001477
CIB1,273,385,266,470,339,557,1.221269175,0.002109199
GDPGP1,112,180,128,217,157,255,0.847034596,5.10106E-07
AC091167.7,12,28,14,24,15,35,0.963528128,0.362343988
TTLL13P,2,11,8,16,9,18,1.003556932,0.876755833
AC091167.2,2038,2869,2063,3281,2376,3494,1.058619133,0.110657037
NGRN,2432,3487,2532,4010,2954,4373,1.012085732,0.700333204
AC091167.6,295,437,306,519,377,527,1.011879674,0.622662149
ZNF774,20,24,26,30,23,53,0.891046199,0.02405146
IQGAP1,5216,6428,5185,7610,6223,8732,0.994219451,0.772449664
CRTC3,189,239,197,252,218,362,1.018806296,0.523058477
BLM,173,284,264,392,167,376,1.082211869,0.281988087
FURIN,1171,1639,1076,1664,1190,1808,1.028651875,0.283068384
FES,151,226,175,259,194,277,0.942653859,0.131922434
MAN2A2,670,1110,736,1257,880,1274,1.058939605,0.127517586
HDDC3,188,268,254,324,228,460,0.852364528,2.25327E-05
UNC45A,1859,2544,1947,2986,2209,3455,0.67509388,0.731885362
RCCD1,375,452,415,646,454,576,0.96868386,0.433235467
PRC1,6295,8620,9110,12752,7752,14387,1.017913967,0.808083027
AC068831.6,6434,8779,9211,12913,7872,14524,1.060549978,0.618377355
VPS33B,344,403,357,517,365,585,0.500580894,0.002663264
SV2B,0,0,1,0,0,3,0.97546702,0.456277093
SLCO3A1,2,0,6,0,0,2,0.976290354,0.534014972
FAM174B,8,8,12,10,5,14,0.943025351,0.113389866
AC013394.1,3042,4134,3161,4773,3571,5596,0.986063293,0.564266583
CHD2,11106,14520,12296,17819,13400,20552,0.951773378,0.183125121
RGMA,5,4,3,8,4,7,0.73552974,0.009123281
MCTP2,72,110,88,128,87,178,0.838114672,0.016129832
NR2F2,428,601,475,799,552,771,1.613537041,0.620334435
ARRDC4,70,168,90,104,94,166,0.500580894,0.002663264
IGF1R,750,1008,788,1092,851,1286,0.98966694,0.788190232
PGPEP1L,0,0,0,0,2,0,0.828928871,0.028754329
SYNM,1212,1793,1399,2134,1489,2381,1.032035283,0.294317829
TTC23,351,428,388,479,352,558,1.01129955,0.762172116
LRRC28,34,48,39,66,44,99,3.852963118,6.32571E-12
MEF2A,565,743,651,918,670,982,0.363912613,1.05701E-16
LYSMD4,89,160,132,170,90,250,0.882448708,0.131778216
ADAMTS17,4,4,8,8,2,8,1.153154132,0.012803212
CERS3,16,14,16,26,20,16,0.959178449,0.301898636
LINS1,197,324,210,323,254,430,1.015010745,0.607898209
ASB7,300,438,335,502,412,675,0.939476569,0.345656827
ALDH1A3,0,4,0,4,2,8,0.857464779,0.094872345
LRRK1,32,60,35,57,42,80,0.999893843,0.996396157
CHSY1,717,979,804,1053,851,1224,0.99369971,0.827376156
SELENOS,1774,2523,2357,2851,2272,4121,0.999124002,0.979130965
SNRPA1,2422,2977,2546,3942,2926,4652,0.968877037,0.304186959
PCSK6,798,1397,1053,1371,1054,1841,1.017734676,0.609364732
TM2D3,234,425,167,371,329,426,0.98616324,0.710813133
TARS3,658,903,792,1124,921,1388,0.903032249,0.044985026
POLR3K,1143,1517,1307,2066,1462,2256,1.109422582,0.162125226
SNRNP25,2186,3073,3121,4160,2566,5204,0.801368565,0.635239481
RHBDF1,131,191,161,212,154,240,0.889368612,0.048744756
MPG,382,474,523,559,426,745,1.108746039,1
NPRL3,250,321,245,363,272,489,1.218491097,0.111651614
HBA2,2,2,2,2,0,2,0.98210467,0.895599512
HBA1,0,0,0,0,2,0,0.452061328,0.160155559
HBQ1,9,11,8,6,3,5,1.007354364,0.797129415
LUC7L,2151,2598,2399,3534,2572,4216,0.875923831,0.770191627
FAM234A,385,570,546,638,452,940,1.02402531,0.434964205
RGS11,2,5,0,4,4,0,1.251139838,8.30625E-05
ARHGDIG,0,4,0,2,4,4,1.27047027,7.77869E-05
PDIA2,2,4,8,2,8,12,2.300880853,7.11352E-07
AXIN1,1394,1953,1581,2328,1596,2780,0.828177278,1.78229E-08
MRPL28,939,1399,1129,1722,1348,1905,0.500147133,0.011974922
PGAP6,670,959,820,1231,910,1371,0.41898599,2.4445E-10
NME4,967,1383,1150,1714,1162,2105,0.899118805,0.0583013
DECR2,129,186,155,260,152,302,0.975627231,0.521825838
RAB11FIP3,3518,5091,4339,6360,4324,7041,1.004970998,0.867127008
CAPN15,530,687,608,821,637,981,0.952509126,0.337686217
PRR35,0,0,0,2,0,0,1.215843367,0.029305145
PIGQ,40,92,80,99,69,120,1.104377201,0.039449594
NHLRC4,2,3,0,4,0,6,0.615773273,0.000208092
RAB40C,164,214,194,302,215,378,0.790332121,0.324795653
WFIKKN1,4,10,14,16,10,32,1.004871527,0.907704784
METTL26,144,164,124,188,114,256,0.651212151,0.000515194
MCRIP2,126,237,224,288,192,324,1.022453337,0.437030981
WDR90,60,100,92,141,89,127,1.110812879,0.005581065
RHOT2,963,1362,1142,1593,1238,1940,0.922270386,0.354725278
RHBDL1,8,8,13,12,6,29,1.075966354,0.72166401
STUB1,4897,6875,6316,8588,6186,9265,0.944891285,0.107393805
JMJD8,572,751,551,879,701,1087,1.089688531,0.049611875
WDR24,52,93,68,65,87,102,0.950292764,0.249305848
FBXL16,28,44,34,30,34,30,0.993713082,0.870140981
METRN,42,69,28,79,37,89,0.997779851,1
ANTKMT,84,122,104,138,104,152,0.995516205,0.895325223
CCDC78,14,11,12,9,6,19,1.023626535,0.422859925
HAGHL,69,125,82,170,105,157,1.031657305,0.564293812
CIAO3,140,220,136,256,188,311,1.07074406,0.142711015
MSLN,86,90,24,116,70,78,1.007121058,0.838808417
RPUSD1,194,244,183,345,255,368,0.975687994,0.479035533
CHTF18,275,408,341,553,356,562,0.519468647,5.04946E-11
GNG13,0,2,0,2,5,2,1.133529486,0.010187046
LMF1,25,24,31,46,25,42,0.989107818,0.728781807
SOX8,6,0,6,14,4,16,2.051857543,0.00027273
SSTR5,119,176,276,230,139,390,1.019507592,0.557168235
C1QTNF8,4,4,0,2,2,4,0.968445217,0.322877963
CACNA1H,196,266,199,294,250,308,0.883754045,0.001803831
TPSG1,2,1,2,10,2,4,1.595036846,0.002324379
TPSD1,0,0,2,2,0,0,1.004115506,0.915195632
UBE2I,2894,3747,3248,4912,3706,5949,0.998460406,0.966216609
BAIAP3,267,368,295,410,307,472,1.014810048,0.608051536
TSR3,1525,2048,1677,2285,1818,2777,1.003833676,0.863148437
GNPTG,325,510,370,525,432,645,0.995295609,0.852011369
UNKL,159,287,221,316,240,374,1.005532428,0.898113374
C16orf91,194,270,194,274,216,352,0.964304343,0.158193883
PERCC1,0,0,0,6,0,0,1.014682447,0.696304656
CCDC154,12,12,12,17,10,10,0.921778189,0.062388832
CLCN7,459,653,466,764,673,891,0.977386286,0.567934291
PTX4,0,0,0,0,2,0,1.010031316,0.769020522
TELO2,212,247,230,413,249,353,0.999653748,0.997395301
IFT140,413,588,449,648,461,903,0.935760912,0.088897939
TMEM204,0,0,0,4,2,0,1.002197187,0.955857223
CRAMP1,548,877,559,958,652,920,1.143283186,0.770191627
AL031708.1,1134,1476,1306,1914,1299,2137,0.979446264,0.652760406
JPT2,2581,3458,3153,4281,3171,5333,1.035899691,0.498882831
MAPK8IP3,1739,2335,1792,2688,2088,3192,1.290360615,0.000243111
NME3,31,18,31,50,38,52,1.008599742,0.833726586
MRPS34,4068,5414,4720,7218,5436,8705,1.009256181,0.742083456
EME2,978,1329,1067,1777,1550,2154,0.943507052,0.103935751
SPSB3,118,184,135,193,167,236,0.99327303,0.826287772
NUBP2,411,541,506,633,407,890,1.000490987,0.985856149
IGFALS,2,6,4,6,5,11,1.014625246,0.505293767
HAGH,923,1191,1101,1381,1016,1840,0.991181296,0.886117836
FAHD1,1264,1817,1517,2087,1650,2455,1.272174464,0.035540385
MEIOB,7,7,9,19,10,15,0.941884504,0.086679286
MSRB1,625,790,679,1000,742,1446,1.033917716,0.37105687
RPL3L,4,10,8,9,2,8,0.654189105,2.83854E-06
NDUFB10,2015,2988,2672,3436,2767,4508,1.075089459,0.14736224
RPS2,14237,20705,18333,24224,17870,30552,0.85648252,3.06608E-05
RNF151,0,0,0,0,1,2,1.02942298,0.246871961
TBL3,442,517,474,690,529,724,1.056265183,0.133487592
NOXO1,40,66,49,91,70,111,1.008669211,0.773075597
GFER,843,1206,1083,1603,1057,1844,0.940148105,0.141908982
SYNGR3,8,16,6,18,4,18,0.34450216,8.89539E-08
ZNF598,1511,2018,1522,2546,1829,2730,0.996906275,0.887457742
NPW,2,8,4,4,0,4,1.004549426,0.93194098
SLC9A3R2,1178,1761,1419,2050,1356,2311,0.929680037,0.065753664
NTHL1,842,1201,1228,1566,1120,2070,0.970232013,0.387289637
TSC2,717,1005,684,1061,780,1192,1.021694777,0.457461284
PKD1,518,806,530,955,708,863,1.03446734,0.634868021
RAB26,7,12,4,10,8,20,1.000639465,0.990656122
TRAF7,1199,1598,1417,1881,1551,2549,1.065542816,0.13205078
CASKIN1,419,590,577,748,571,913,0.989758047,0.762874449
MLST8,490,688,546,800,600,1032,1.032243391,0.322647275
BRICD5,17,21,37,40,14,64,1.188975565,0.001288843
PGP,173,205,228,322,168,446,1.766672276,0.038484828
E4F1,434,534,540,694,532,982,0.822438955,0.000870485
DNASE1L2,2,2,2,4,4,6,0.99735824,0.918727804
ECI1,425,619,504,788,567,895,1.008216791,0.732311403
RNPS1,3466,4785,4609,5538,4123,7137,0.990474365,0.739142554
ABCA3,24,38,22,47,50,48,0.897662179,0.341156118
CCNF,185,285,308,383,260,445,0.970910317,0.401820785
TEDC2,140,186,209,289,196,341,1.497766355,0.266731882
NTN3,4,8,5,6,0,8,1.021835969,0.495127967
TBC1D24,196,273,230,307,207,407,0.966909839,0.364030997
AC093525.2,846,1333,970,1327,1244,1854,1.958471354,0.019707618
ATP6V0C,1132,1817,1333,1852,1681,2540,0.640045794,1.05835E-06
AC093525.1,699,1088,784,1170,956,1560,0.973695589,0.372709215
AMDHD2,156,206,168,260,200,276,1.120513569,0.054911554
CEMP1,34,24,28,54,36,48,1.00739043,0.84704132
PDPK1,997,1371,1019,1563,1111,1861,0.835814048,5.93136E-06
KCTD5,850,1257,1023,1451,1188,1792,0.696713552,1.43618E-05
PRSS27,0,0,0,4,4,2,0.974528596,0.46417189
SRRM2,13442,17402,14487,20950,15519,24883,0.866231832,0.002384845
ELOB,470,673,600,724,544,877,0.998395099,0.962821411
PRSS33,0,0,0,2,4,2,1.530516407,2.58351E-06
PRSS41,0,0,0,0,0,2,1.063956099,0.287973445
ZG16B,47,41,36,72,48,56,1.018362757,0.595359579
PRSS22,17,21,16,18,10,10,1.123670282,0.034834916
FLYWCH2,228,293,268,308,252,388,0.99434516,0.830995485
FLYWCH1,655,930,667,951,851,1236,1.720095695,0.007431705
KREMEN2,85,134,104,151,94,192,0.981128652,0.612036485
PKMYT1,694,1017,862,1263,842,1472,1.040109916,0.224539174
PAQR4,687,1007,826,1200,817,1414,1.017858539,0.708792623
LINC00514,12,10,10,13,10,19,0.980487005,0.514594649
CLDN9,2,2,11,10,8,24,1.012227378,0.572262981
CLDN6,121,208,135,166,146,288,1.054217951,0.35863939
TNFRSF12A,1001,1263,993,1512,1231,1847,1.012281886,0.800089215
HCFC1R1,113,145,120,190,138,259,1.008543457,0.801306089
THOC6,110,177,182,214,147,306,1.009315738,0.715933228
BICDL2,0,10,2,4,2,4,1.062822214,0.138129001
MMP25,4,18,14,23,18,21,0.983708784,0.563258614
IL32,5067,7248,4447,7769,6206,8089,0.806540251,0.008307741
ZSCAN10,4,0,0,0,0,4,1.229815802,0.010002288
ZNF205,503,629,515,752,614,870,1.004047002,0.88649421
ZNF213,70,80,62,88,46,82,1.034022234,0.446819877
ZNF200,203,299,265,331,286,403,0.633975154,0.062909953
MEFV,4,2,0,0,4,4,1.003488768,0.955161402
ZNF263,711,1015,867,1119,924,1418,1.006628573,0.834660079
TIGD7,29,27,18,16,40,44,1.123619765,0.025164639
ZNF75A,15,23,14,35,10,33,0.949350439,0.165843529
AC025283.2,295,394,361,497,353,605,0.948513292,0.06316321
MTRNR2L4,0,2,2,2,0,1,1.029961827,0.419340941
ZSCAN32,344,502,400,509,459,655,1.070576247,0.580946163
ZNF174,250,331,268,394,256,494,1.01694901,0.545514461
ZNF597,90,119,108,188,102,194,0.998044309,0.936284582
NAA60,637,882,764,1012,793,1446,1.173028641,0.047158846
C16orf90,0,0,2,0,0,2,0.995722396,0.907376322
CLUAP1,1154,1620,1125,1839,1415,1886,0.55912746,1
NLRC3,0,6,2,4,0,6,0.894773052,0.749302657
SLX4,417,538,449,602,623,763,1.163296806,0.034629272
DNASE1,2784,3951,3175,4461,3204,5389,0.976741356,0.481614597
TRAP1,4319,5925,4784,6904,5242,8278,1.107731554,1
CREBBP,3766,5012,4311,6397,4430,7395,1.072120657,0.064222007
ADCY9,1211,1801,1454,1973,1565,2448,0.607112731,0.000346774
SRL,4,2,0,7,2,0,0.516119645,1.58138E-11
TFAP4,356,508,530,654,457,820,0.952365881,0.311311739
GLIS2,61,72,74,104,69,82,1.015943594,0.61298465
PAM16,184,206,127,220,205,288,1.024314163,0.61902414
CORO7-PAM16,234,325,203,303,296,381,1.024678765,0.482388579
CORO7,104,190,108,153,160,175,0.901813317,0.343034125
VASN,235,438,421,435,300,668,1.004748199,0.865623514
DNAJA3,1216,1787,1463,1968,1495,2456,0.986751712,0.73678675
NMRAL1,499,767,624,845,586,1136,0.476140004,0.068727047
HMOX2,3602,4679,3752,6127,4466,6540,0.950996303,0.539625391
CDIP1,846,1431,1072,1508,1073,1903,0.998574736,0.9844088
C16orf96,2,2,0,2,0,0,0.996535556,0.930578384
UBALD1,234,378,323,359,328,504,0.870091285,0.012546845
MGRN1,1087,1576,1173,1635,1296,2010,0.964327574,0.247056575
NUDT16L1,118,156,124,172,138,242,1.042000996,0.357441073
ANKS3,193,288,208,332,246,359,1.502297602,0.000365564
C16orf71,4,2,8,6,4,10,0.968191735,0.381604528
ZNF500,77,116,94,133,106,235,1.040455605,0.234967468
SEPTIN12,0,0,0,0,2,4,1.796827244,2.11345E-06
SMIM22,0,3,3,9,5,5,0.998072239,0.940769778
ROGDI,308,430,433,480,334,727,0.744511976,0.287634895
GLYR1,4224,5534,4966,6786,5086,8161,1.129847053,0.014824882
UBN1,3335,4379,3839,5629,4200,6636,0.941650505,0.154919878
PPL,2197,2642,2906,3324,2500,4697,0.89474193,0.041353318
SEC14L5,4,16,8,2,2,14,0.976336919,0.621669591
NAGPA,418,590,522,664,530,1068,1.140236471,0.594163742
ALG1,705,935,882,1112,803,1468,1.008158891,1
C16orf89,6,4,6,16,4,12,0.966889447,0.248310532
EEF2KMT,505,639,556,860,592,981,0.758084553,5.53075E-09
RBFOX1,4,0,2,2,0,0,0.968569981,0.418588926
METTL22,502,602,436,719,546,645,0.816036256,1.01222E-05
ABAT,2431,3503,2992,3953,3021,5187,0.511468782,0.282135309
TMEM186,372,479,427,555,434,752,0.97242348,0.601177635
PMM2,3015,3981,3532,4968,3689,5743,1.055029014,0.356337918
CARHSP1,832,1231,1138,1537,987,1822,1.006071959,0.803766323
LITAFD,2,0,0,0,2,0,1.216684504,0.00272351
USP7,13234,17182,15454,22930,16457,25849,0.750084908,0.519735906
C16orf72,2066,3051,2496,3412,2686,3930,0.683438535,0.471999982
GRIN2A,0,0,0,0,0,4,0.947965051,0.234950839
ATF7IP2,644,798,765,958,661,1200,0.981393954,0.570375723
EMP2,116,158,156,210,124,236,0.97613279,0.496544628
TEKT5,0,0,0,0,0,2,1.14735482,0.002167217
NUBP1,2400,3221,3070,4295,3065,5003,0.99528384,0.901503883
TVP23A,170,204,198,255,227,337,1.035446629,0.478278792
CIITA,435,601,477,725,504,852,0.961587973,0.363690276
DEXI,745,1010,793,1196,840,1284,0.984273243,0.784711577
CLEC16A,1015,1361,1045,1691,1256,1888,1.201054837,9.76916E-05
RMI2,232,316,321,330,171,381,0.989713028,0.661384096
SOCS1,56,92,68,98,66,114,0.99262621,0.735780414
PRM2,0,0,2,2,0,4,1.536038303,0.643094748
PRM1,8,4,2,2,0,6,1.326537457,0.220682398
AC099489.1,4,10,2,4,0,12,1.519718629,0.78090707
LITAF,1852,2732,2704,3333,2318,4314,1.031210555,0.377153893
SNN,348,504,418,654,527,705,1.072565921,0.10274607
TXNDC11,1084,1469,1357,1764,1402,2212,1.054353065,0.21832506
ZC3H7A,2807,3860,3419,4865,3496,5589,0.712054987,1.51972E-07
RSL1D1,36632,46756,39550,59472,44755,66325,0.920053105,0.146449718
GSPT1,30492,38652,35790,53245,38400,60951,0.978481939,0.523631438
NPIPB2,115,162,181,203,147,229,0.671568889,0.150803847
TNFRSF17,0,0,2,0,2,0,1.02242333,0.566516576
SNX29,565,720,437,720,572,738,1.021196686,0.372715175
CPPED1,2196,2870,2328,3589,2726,4047,0.876754169,0.032506015
SHISA9,2,2,4,0,2,6,1.092086318,0.064954712
ERCC4,405,631,446,664,490,775,0.96406123,0.260543372
MRTFB,908,1228,976,1411,1111,1688,0.730067124,0.016278628
PARN,2890,3718,3309,4599,3334,5159,1.062251209,0.031534138
BFAR,1302,1633,1357,1925,1317,2342,1.034685614,0.706738611
PLA2G10,0,0,2,0,2,3,1.048975766,0.518989659
NPIPA3,17,23,12,48,12,28,1.095147006,0.03829852
NPIPA2,77,139,109,158,107,167,0.961639554,0.211238128
NOMO1,7660,10835,8730,11948,9160,15541,0.965802433,0.590167401
NPIPA1,2353,3989,3087,4389,2895,4968,13.8410132,5.18276E-12
PDXDC1,11458,16757,16261,20565,14673,26736,1.199257013,0.00892579
NTAN1,766,877,763,1180,933,1172,3.745453962,0.006629955
RRN3,3411,4521,3470,5625,4350,6127,1.04163716,0.264269074
NPIPA5,529,934,654,961,583,1144,1.040808083,0.191120263
MPV17L,442,655,574,612,403,1024,1.04364748,0.727288306
AC140504.1,206,273,126,280,228,286,2.262061508,0.000616405
BMERB1,537,707,341,777,621,669,3.151237149,5.08875E-08
MARF1,881,1234,903,1187,1042,1490,1.215164423,0.160851746
NDE1,1539,1766,1484,2054,1650,2423,1.218735891,0.000592068
MYH11,170,253,189,315,223,342,0.986553634,0.587652115
CEP20,612,771,718,997,761,1221,1.017130648,0.518450223
ABCC1,3348,4416,3283,4887,3575,5366,0.807289017,0.000224672
ABCC6,1188,1921,1889,2254,1542,3073,1.015144298,0.604981864
NOMO3,4358,6470,5289,7031,5297,8568,0.971397145,0.487291606
AC138969.1,506,937,660,906,658,1057,0.983183654,0.710121815
NPIPA7,170,207,215,269,184,332,0.955281816,0.35924767
NPIPA8,37,30,37,29,26,52,1.017888434,0.755572924
NPIPA9,437,754,470,709,536,922,0.98474712,0.647873291
NOMO2,6818,10235,8001,10557,8523,13702,1.005561033,0.868515691
RPS15A,9309,12931,11217,15488,11096,19867,1.135620658,0.065889667
AC138811.2,12735,18485,16367,22099,15391,27870,1.863389335,0.050868214
ARL6IP1,5283,8372,7660,9973,6618,12217,0.990704422,0.722219484
SMG1,6313,8708,6786,10619,7916,11502,0.948449144,0.1371688
TMC7,529,697,421,742,552,734,1.249231197,2.6396E-06
COQ7,737,985,955,1282,810,1580,0.977218878,0.502733158
ITPRIPL2,780,1132,954,1260,1046,1531,0.986828616,0.646160036
SYT17,0,0,0,4,2,0,0.970170133,0.288563523
TMC5,0,4,8,4,2,14,1.019409271,0.664217372
GDE1,861,1142,908,1289,903,1626,1.03127275,0.356672841
CCP110,1321,1576,1592,2224,1488,2608,1.106401682,0.173451368
VPS35L,153,225,189,262,185,285,0.768247365,0.000608494
KNOP1,6755,8649,8365,11633,8478,13622,1.021397224,0.547289985
IQCK,673,864,918,1153,867,1468,1.095103477,0.020861354
GPRC5B,43,90,90,73,59,131,1.060959149,0.124604306
GP2,6,14,8,12,0,18,1.001499518,0.951823331
UMOD,0,0,0,0,2,0,0.601981996,0.000378508
ACSM5,35,122,60,79,52,119,0.757319763,0.002635896
ACSM2A,91,172,146,246,104,281,0.997290369,0.895323495
ACSM2B,93,252,173,264,118,300,0.985476375,0.639664834
ACSM3,405,562,703,789,466,1149,1.814523012,0.00151521
ACSM1,17,35,18,42,25,26,0.76568235,6.8044E-05
THUMPD1,2826,3753,3175,4603,3439,5331,0.974465811,0.67562424
ERI2,783,1120,1001,1473,1057,1798,0.992799941,0.869903267
REXO5,224,368,351,475,297,592,1.053647315,0.198250168
DCUN1D3,820,1132,839,1386,954,1542,0.962285485,0.170055434
LYRM1,2543,3557,2959,4081,3218,5149,0.523798523,8.7668E-14
DNAH3,12,8,17,27,17,26,0.982228097,0.534859785
TMEM159,94,97,103,151,90,189,1.02345008,0.419922309
ZP2,0,7,1,1,0,0,0.92790967,0.100578171
ANKS4B,1366,1996,1814,2166,1750,2938,1.018440405,0.392286897
CRYM,22,43,36,55,32,40,0.98207483,0.598307425
NPIPB3,1242,1765,1414,2168,1493,2664,0.949875389,0.111019542
METTL9,1942,2831,2167,3326,2468,3382,0.952012418,0.145188945
IGSF6,2,12,5,6,12,16,0.948004705,0.287788149
OTOA,4,2,4,2,4,4,0.861015578,0.045564979
NPIPB4,1200,1685,1280,2006,1334,2574,1.185688529,0.297168177
UQCRC2,2326,3144,2983,3852,2809,5276,0.999201989,0.978463512
PDZD9,2,0,0,0,2,0,0.990629932,0.764085788
MOSMO,300,458,335,450,402,613,0.99670811,0.916283918
VWA3A,0,0,4,0,1,2,0.825998451,0.001360053
SDR42E2,6,2,3,1,1,6,0.949568526,0.140506196
EEF2K,984,1147,1074,1373,982,1536,0.996608326,0.921625593
POLR3E,3312,4643,3838,5835,4063,6748,0.890014842,0.0117536
CDR2,4367,6012,5633,7824,5602,9270,0.955078445,0.534598031
NPIPB5,1904,2730,2296,3488,2462,4185,1.040894701,0.277914313
HS3ST2,0,0,0,2,0,0,0.989853094,0.764891407
USP31,828,1089,848,1259,1026,1472,0.99571811,0.871886376
SCNN1G,0,2,0,2,0,0,0.911212363,0.087370115
SCNN1B,0,0,2,2,0,4,1.017160458,0.56246194
COG7,273,309,234,388,306,516,0.946342594,0.222306583
GGA2,1519,2250,1856,2641,1818,3179,1.055502599,0.610518084
EARS2,860,1254,1178,1557,1049,2045,0.949187724,0.098143363
UBFD1,1590,2275,2147,2729,2075,3348,0.597076247,0.000539089
NDUFAB1,1154,1632,1344,2008,1589,2663,2.660755424,0.00122165
PALB2,867,1104,972,1441,1115,1643,0.954864158,0.298834175
DCTN5,2838,3971,3196,4704,3611,5210,1.001356042,0.962990993
PLK1,2521,3368,3213,4670,2762,5591,0.986274503,0.73039755
ERN2,42,45,47,85,47,114,1.012212472,0.778313217
CHP2,14,25,2,21,16,31,0.921919674,0.06305009
PRKCB,0,2,2,4,2,4,0.998225624,0.983968992
RBBP6,11064,14286,13965,18794,14268,25316,0.924382445,0.835873051
TNRC6A,3294,4157,3927,5797,4091,6281,0.979912083,0.507567835
SLC5A11,7,24,14,6,19,26,0.925000345,0.057820921
ARHGAP17,1937,2566,1957,2995,2268,3242,1.0449805,0.250600166
LCMT1,342,452,388,561,379,668,0.993087141,0.820030448
AQP8,0,18,4,12,2,12,0.881597276,0.181694098
