Geneid,GroupA_1,GroupA_2,GroupA_3,GroupB_1,GroupB_2,GroupB_3,foldchange,pvalue
CSKMT,31,46,40,62,33,75,0.951490837,0.301081639
UQCC3,427,601,598,750,559,1086,1.095753763,0.264326502
UBXN1,9274,11953,10623,14564,10975,17272,0.983144316,0.816128015
LRRN4CL,0,0,2,2,1,0,1.007542095,0.838426761
BSCL2,138,176,167,167,123,220,1.036637783,0.370674797
HNRNPUL2-BSCL2,9605,12677,11328,17026,12132,18657,1.036361158,0.398611883
GNG3,15,26,25,20,11,25,1.208406229,0.003023347
HNRNPUL2,10129,13478,12007,17996,12795,19748,0.309222491,0.000883481
TTC9C,142,266,196,261,222,359,1.052722297,0.385086051
ZBTB3,11,25,20,18,7,17,1.013961354,0.772348293
POLR2G,273,412,388,430,388,658,1.103985852,0.02687372
TAF6L,146,238,208,233,164,321,1.09883863,0.016350703
TMEM223,78,93,53,94,93,124,0.657716808,0.009218124
TMEM179B,72,66,72,106,89,96,0.983345976,0.572754883
NXF1,697,998,776,1182,1009,1552,0.962465719,0.351069618
STX5,427,564,591,749,527,1074,1.261843155,0.185674074
TEX54,0,0,0,2,0,4,1.155979771,0.007886197
WDR74,792,1092,980,1214,965,1532,0.99484017,0.824929497
SLC3A2,3746,6365,3976,6029,4917,6727,0.901395651,0.075797352
SLC22A8,1,0,0,0,0,2,1.022233041,0.369387731
SLC22A24,2,0,0,0,0,2,1.061434833,0.085494898
SLC22A10,7,8,7,4,10,12,1.019067829,0.533839681
SLC22A9,30,44,30,53,37,72,1.069968658,0.132011603
LGALS12,0,0,0,0,0,2,1.095470387,0.33981744
PLAAT4,2,4,4,2,0,2,1.008872265,0.762806587
PLAAT3,62,87,59,79,51,138,1.011628181,0.766558518
ATL3,2,0,2,4,0,2,0.996348063,1
RTN3,549,774,582,982,696,1154,0.971625146,0.553250115
C11orf95,521,728,490,876,657,943,0.983359683,0.612568896
SPINDOC,575,912,782,1065,715,1389,1.019723257,0.486184251
MARK2,1106,1561,1170,1795,1365,2066,1.021934586,0.426488146
RCOR2,264,351,338,393,263,604,1.028591916,0.42363972
NAA40,482,704,556,797,592,1038,1.014313865,0.660714239
COX8A,172,227,170,268,152,371,0.95958821,0.281955621
AP000721.1,1642,2236,1885,2745,1868,3326,1.008878169,0.789203349
OTUB1,1855,2505,2162,3080,2137,3724,1.050896822,0.140645304
MACROD1,73,158,122,168,113,235,1.040884883,0.196536483
FLRT1,14,12,9,14,16,11,0.967295963,0.57105296
STIP1,8634,10681,9765,14412,10367,17437,0.98542287,0.67696306
FERMT3,3,6,2,3,6,9,0.916419574,0.00767062
TRPT1,84,118,86,100,114,130,0.805589012,0.009316432
NUDT22,102,150,141,220,168,247,0.534276197,4.58594E-06
DNAJC4,114,164,147,139,147,228,1.025249039,0.335584952
VEGFB,162,219,182,246,169,283,0.977676604,0.408340833
FKBP2,1588,2161,2021,2650,1982,3653,1.015692993,0.58006673
AP001453.4,1586,2149,2022,2638,1971,3660,0.652690364,0.0016545
PPP1R14B,2480,3396,2562,3845,3033,4267,1.045958342,0.081913637
PLCB3,869,1257,1020,1393,1016,1592,1.049445124,0.496137968
BAD,281,442,304,430,401,562,1.088729449,0.596292238
GPR137,255,416,265,397,368,520,0.596829066,9.38901E-09
KCNK4,0,0,2,2,0,0,0.979234154,0.522844923
CATSPERZ,4,14,6,8,10,16,1.018229016,0.657398104
ESRRA,543,932,581,901,752,1062,0.879451784,0.011468
TRMT112,1466,1837,1532,2095,1500,2725,1.29129331,0.000255096
PRDX5,4286,6299,5274,7120,5449,9204,0.983090251,0.425485473
CCDC88B,32,40,32,44,48,38,0.986993277,0.766988107
RPS6KA4,826,1038,779,1331,1054,1324,0.882719901,0.007786017
SLC22A11,17,25,14,16,23,20,0.996947767,0.912977274
NRXN2,4,8,10,6,4,10,0.336260627,6.3365E-15
RASGRP2,2,4,0,0,0,2,1.023997637,0.595873843
PYGM,4,4,4,0,0,4,0.929904169,0.103527457
SF1,6366,8771,8034,10995,8270,13807,1.320047873,0.04743425
MAP4K2,120,176,143,189,106,215,1.003587731,0.901474669
MEN1,340,416,406,552,404,694,0.932245279,0.056387204
CDC42BPG,458,605,568,692,545,782,1.004663074,0.89663714
EHD1,1448,2052,1478,2346,1938,2842,0.726036948,0.009952042
ATG2A,205,316,197,350,228,380,0.968647667,0.256155298
PPP2R5B,132,166,127,171,150,257,1.039454805,0.454768272
GPHA2,17,10,11,7,11,12,0.930964292,0.09704512
BATF2,74,108,84,110,106,113,1.051237631,0.124896922
ARL2,495,712,713,896,583,1182,0.99150572,0.754927215
ARL2-SNX15,677,923,905,1178,831,1551,0.99933154,0.978896669
SNX15,210,246,230,315,264,410,0.885789296,0.003599779
SAC3D1,416,538,482,650,408,898,0.938348302,0.195991989
NAALADL1,13,14,9,11,4,25,0.983049754,0.607949099
CDCA5,533,696,724,964,581,1147,1.021345476,0.717422293
ZFPL1,190,216,224,277,215,369,0.917791343,0.056175664
